[2021.11.21 14:06:12] [0000m.02s.610ms] [0] WELCOME
[2021.11.21 14:06:12] [0000m.02s.613ms] [1] iCDB Diagnostic ver.2.207, qgLvIY/Eg4ge+fhn3Vi3jQ, build:15449124 created 2019-12-19 14:24:55, sources stamp:qgLvIY/Eg4ge+fhn3Vi3jQ
[2021.11.21 14:06:12] [0000m.02s.613ms] [1] Restricted Copyright Siemens 2020. All Rights Reserved.
[2021.11.21 14:06:12] [0000m.02s.614ms] [1] Base flow version [VX.2.7]
[2021.11.21 14:06:12] [0000m.02s.614ms] [1] Install Id [2119024], Flow Id [PADS VX.2.7], Full Flow Name [PADS VX.2.7], Exact Access Date [2020/02/01]
[2021.11.21 14:06:12] [0000m.02s.614ms] [1] UPDATE Install Info, Install Id [2150279], UPDATE Name [PADS VX.2.7 - Update 1]
[2021.11.21 14:06:12] [0000m.02s.616ms] [1] Machine [DESKTOP-1NI94LR]  IP [10.0.0.34,127.0.0.1]  User [johen]  PID [5040]
[2021.11.21 14:06:12] [0000m.02s.617ms] [1] Operating system [Microsoft Windows 10 Business Edition, 64-bit (build 19043)]
[2021.11.21 14:06:12] [0000m.02s.617ms] [1] Current working dir [C:\PADS Projects\DxProjects\Proyecto]
[2021.11.21 14:06:12] [0000m.02s.617ms] [1] PATH [C:\MentorGraphics\PADSVX.2.7\SDD_HOME\common\win32\bin;C:\MentorGraphics\PADSVX.2.7\SDD_HOME\common\win32\lib;C:\MentorGraphics\PADSVX.2.7\SDD_HOME\common\win64\lib;C:\MentorGraphics\PADSVX.2.7\SDD_HOME\common\win32\jre\default\bin;C:\MentorGraphics\PADSVX.2.7\MGC_HOME.ixn\bin;C:\MentorGraphics\PADSVX.2.7\MGC_HOME.ixn\lib;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Program Files\Git\cmd;C:\Users\johen\AppData\Local\Microsoft\WindowsApps;C:\MentorGraphics\PADSVX.2.7\SDD_HOME\CAMCAD]
[2021.11.21 14:06:12] [0000m.02s.617ms] [1] SDD_HOME [C:\MentorGraphics\PADSVX.2.7\SDD_HOME] on file system [NTFS]
[2021.11.21 14:06:12] [0000m.02s.617ms] [1] SDD_PLATFORM [win32]
[2021.11.21 14:06:12] [0000m.02s.618ms] [1] WDIR [C:\PADS Projects;C:\MentorGraphics\PADSVX.2.7\SDD_HOME\standard;]
[2021.11.21 14:06:12] [0000m.02s.618ms] [1] Local iCDB working dir [C:\PADS Projects\iCDB] on file system [NTFS]
[2021.11.21 14:06:12] [0000m.02s.744ms] [2] Diagnostic: Snapshot: DxD
[2021.11.21 14:06:12] [0000m.02s.744ms] [2] Diagnostic: SnapshotCheck: CDBImplBlock
[2021.11.21 14:06:12] [0000m.02s.744ms] [2] Diagnostic: SnapshotCheck: CDBImplComp
[2021.11.21 14:06:12] [0000m.02s.745ms] [2] Diagnostic: SnapshotCheck: DxDCompView (regular)
[2021.11.21 14:06:12] [0000m.02s.745ms] [2] Diagnostic: DxDCheck: LineDxD
[2021.11.21 14:06:12] [0000m.02s.746ms] [2] Diagnostic: DxDCheck: CircleDxD
[2021.11.21 14:06:12] [0000m.02s.746ms] [2] Diagnostic: DxDCheck: ArcDxD
[2021.11.21 14:06:12] [0000m.02s.746ms] [2] Diagnostic: DxDCheck: RectDxD
[2021.11.21 14:06:12] [0000m.02s.746ms] [2] Diagnostic: DxDCheck: TextDxD
[2021.11.21 14:06:12] [0000m.02s.746ms] [2] Diagnostic: SnapshotCheck: DxDCompView (cached)
[2021.11.21 14:06:12] [0000m.02s.746ms] [2] Diagnostic: DxDCheck: LineDxD
[2021.11.21 14:06:12] [0000m.02s.746ms] [2] Diagnostic: DxDCheck: CircleDxD
[2021.11.21 14:06:12] [0000m.02s.747ms] [2] Diagnostic: DxDCheck: ArcDxD
[2021.11.21 14:06:12] [0000m.02s.747ms] [2] Diagnostic: DxDCheck: RectDxD
[2021.11.21 14:06:12] [0000m.02s.747ms] [1] Diagnostic: Warning: {[RectDxD] [6] } --> UID does not exist
